ID,Unit,Facie,depth,MS,Den,FP,TS,TC,TIC,TOC,BioSi,TN,TOC/TN,d15N,d13C,Montmorillonite,Muscovite,Talc,Riebeckite,Clinochlore,Microcline,Quartz,Albite,Amorphous
CHILL-LEM13-2C-1U 21-22 cm,U1,D1,0,44.8263,1.2104,0.8832,0.17489,2.423,0,2.423,19.5909536366,0.278,10.1684652278,1.4289025406,-25.6322472711,Present,0.14,0.096,0.075,0.192,0.284,2.206,8.716,39.4
CHILL-LEM13-2C-1U 22-23 cm,U1,D1,1,55.861,1.3906,0.7726,0.22951,1.8964,0,1.8964,18.7777138684,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 23-24 cm,U1,D1,2,,,,0.2292,2.0317,0,2.0317,19.2226688017,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 24-25 cm,U1,D1,3,67.4362,1.4145,0.758,0.2667,2.1059,0.19598,1.90992,20.1905895526,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 25-26 cm,U1,D1,4,,,,0.25487,2.0686,0,2.0686,19.3207285074,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 26-27 cm,U1,D1,5,79.9575,1.443,0.7405,0.28564,1.9684,0.027671,1.940729,19.2110804401,0.21,10.7818277778,3.1663487075,-26.178120257,,,,,,,,,
CHILL-LEM13-2C-1U 27-28 cm,U1,D1,6,,,,0.22691,1.381,0.26218,1.11882,19.3663639374,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 28-29 cm,U1,D1,7,97.9357,1.4405,0.742,0.28636,1.8752,0.11262,1.76258,20.4220774187,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 29-30 cm,U1,D2,8,,,,0.26073,1.8916,0,1.8916,18.6576098826,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 30-31 cm,U1,D2,9,113.6049,1.4983,0.7066,0.21178,1.7273,0.013166,1.714134,19.488813652,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 31-32 cm,U1,D2,10,,,,0.17617,1.4648,0,1.4648,17.7184322188,0.175,9.7653333333,1.5256947174,-26.0969099349,Present,Present,0.131,0.089,Present,0.248,1.554,11.28,38.32
CHILL-LEM13-2C-1U 32-33 cm,U1,D2,11,127.8827,1.5365,0.6832,0.18241,1.2566,0,1.2566,18.4317481143,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 33-34 cm,U1,D2,12,,,,0.28001,1.8354,0,1.8354,19.8123260287,,,,,0.203,0.163,0,0.693,Present,0.439,0.513,38.66,23.37
CHILL-LEM13-2C-1U 34-35 cm,U1,T1,13,117.4218,1.756,0.5484,0.19569,0.53755,0,0.53755,12.1875856214,0.036,17.4206018519,,,0,0,Present,0,0,0.1,0.442,30.94,17.22
CHILL-LEM13-2C-1U 35-36 cm,U2,D3,14,,,,0.36739,2.0315,0.053653,1.977847,19.2962415578,,,,,,,,,,,,,
CHILL-LEM13-2C-1U 36-37 cm,U2,D3,15,130.5343,1.4265,0.7506,0.54416,3.1184,0.039191,3.079209,21.3535979506,,,1.208517452,-24.4417985246,,,,,,,,,
CHILL-LEM13-2C-1U 37-38 cm,U2,D3,16,,,,0.59917,3.4015,0.082589,3.318911,21.3131555302,,,,,,,,,,,,,
